VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_X,pickup_Y,pickup_borough,location_i_pickup,objectid_pickup,pickup_shape_area,shape_leng_pickup,pickup_zone,X,Y,borough,location_i_dropoff,objectid_dropoff,shape_area,shape_leng_dropoff,zone
1,11/1/2022 0:14,11/1/2022 0:23,1,1.5,1,N,164,107,1,8,3,0.5,2.95,0,0.3,14.75,2.5,0,-73.98592911,40.74880822,Manhattan,164,164,5.56318237441e-05,0.035771612,Midtown South,-73.98331041,40.7373483,Manhattan,107,107,7.46112192675e-05,0.038041365,Gramercy
1,11/1/2022 0:09,11/1/2022 0:24,3,2.4,1,N,158,148,1,12,3,0.5,3.15,0,0.3,18.95,2.5,0,-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West,-73.99071887,40.71921043,Manhattan,148,148,6.97489921327e-05,0.039130502,Lower East Side
1,11/1/2022 0:59,11/1/2022 1:05,4,0.9,1,N,249,158,4,5.5,3,0.5,0,0,0.3,9.3,2.5,0,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village,-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West
2,11/1/2022 0:08,11/1/2022 0:28,1,9.96,1,N,138,235,2,30,0.5,0.5,0,6.55,0.3,39.1,0,1.25,-73.87283016,40.77487973,Queens,138,138,0.000536797,0.107466934,LaGuardia Airport,-73.91496798,40.85350263,Bronx,235,235,0.000212845,0.076166843,University Heights/Morris Heights
2,10/31/2022 23:59,11/1/2022 0:06,2,0.88,1,N,144,114,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,0,-73.99740673,40.72058154,Manhattan,144,144,4.74789670369e-05,0.027620167,Little Italy/NoLiTa,-73.99867809,40.72861251,Manhattan,114,114,4.70207704945e-05,0.031727035,Greenwich Village South
2,11/1/2022 0:07,11/1/2022 0:22,1,3.04,1,N,114,162,1,12.5,0.5,0.5,4.08,0,0.3,20.38,2.5,0,-73.99867809,40.72861251,Manhattan,114,114,4.70207704945e-05,0.031727035,Greenwich Village South,-73.97214548,40.75681613,Manhattan,162,162,4.78936962112e-05,0.035269815,Midtown East
2,11/1/2022 0:35,11/1/2022 0:47,2,1.66,1,N,237,230,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5,0,-73.96569149,40.76854181,Manhattan,237,237,9.59873206621e-05,0.0422126,Upper East Side South,-73.98417616,40.75984468,Manhattan,230,230,5.60914463266e-05,0.03102831,Times Sq/Theatre District
2,11/1/2022 0:05,11/1/2022 0:31,1,16.95,2,N,132,164,1,52,0,0.5,5,6.55,0.3,68.1,2.5,1.25,-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport,-73.98592911,40.74880822,Manhattan,164,164,5.56318237441e-05,0.035771612,Midtown South
2,11/1/2022 0:41,11/1/2022 0:49,4,1.69,1,N,148,234,2,8,0.5,0.5,0,0,0.3,11.8,2.5,0,-73.99071887,40.71921043,Manhattan,148,148,6.97489921327e-05,0.039130502,Lower East Side,-73.99047762,40.74031339,Manhattan,234,234,7.31054382894e-05,0.036072199,Union Sq
2,11/1/2022 0:00,11/1/2022 0:04,2,0.8,1,N,100,170,2,5,0.5,0.5,0,0,0.3,8.8,2.5,0,-73.9887859,40.75351403,Manhattan,100,100,3.74700210291e-05,0.024813109,Garment District,-73.97694274,40.74765443,Manhattan,170,170,7.43150675972e-05,0.045769009,Murray Hill
2,11/1/2022 0:31,11/1/2022 0:43,2,2.54,1,N,162,68,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0,-73.97214548,40.75681613,Manhattan,162,162,4.78936962112e-05,0.035269815,Midtown East,-73.99994016,40.74839716,Manhattan,68,68,0.000111073,0.04933738,East Chelsea
2,11/1/2022 0:46,11/1/2022 0:52,2,1.54,1,N,246,230,2,7,0.5,0.5,0,0,0.3,10.8,2.5,0,-74.00451221,40.75243776,Manhattan,246,246,0.000281298,0.069467194,West Chelsea/Hudson Yards,-73.98417616,40.75984468,Manhattan,230,230,5.60914463266e-05,0.03102831,Times Sq/Theatre District
1,11/1/2022 0:01,11/1/2022 0:32,2,18.2,2,N,132,41,1,52,1.25,0.5,12.12,6.55,0.3,72.72,0,1.25,-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport,-73.95206437,40.80420432,Manhattan,41,41,0.000143093,0.052793109,Central Harlem
2,11/1/2022 0:15,11/1/2022 0:48,1,18.91,2,N,132,263,1,52,0,0.5,12.62,6.55,0.3,75.72,2.5,1.25,-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport,-73.95120935,40.77849396,Manhattan,263,263,6.57697664169e-05,0.037016625,Yorkville West
2,11/1/2022 0:34,11/1/2022 0:53,1,7.13,1,N,163,244,1,22.5,0.5,0.5,5.26,0,0.3,31.56,2.5,0,-73.9783669,40.7644253,Manhattan,163,163,4.08567804196e-05,0.034176867,Midtown North,-73.94166788,40.84121884,Manhattan,244,244,0.000359703,0.080568604,Washington Heights South
2,10/31/2022 23:55,11/1/2022 0:25,1,15.39,1,N,132,179,1,43,0.5,0.5,9.11,0,0.3,54.66,0,1.25,-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport,-73.92681392,40.77142085,Queens,179,179,0.000183893,0.071380864,Old Astoria
